Age Group,Total,Male,Female,
," 590,709 "," 337,789 "," 252,920 ",
,,,,
Under 1," 21,019 "," 12,174 "," 8,845 ",
1-4," 7,805 "," 4,215 "," 3,590 ",
5-9," 5,212 "," 2,830 "," 2,382 ",
10-14," 4,670 "," 2,718 "," 1,952 ",
15-19," 7,788 "," 5,172 "," 2,616 ",
20-24," 11,171 "," 7,715 "," 3,456 ",
25-29," 13,180 "," 9,088 "," 4,092 ",
30-34," 14,526 "," 9,828 "," 4,698 ",
35-39," 18,831 "," 12,547 "," 6,284 ",
40-44," 23,109 "," 15,243 "," 7,866 ",
45-49," 31,150 "," 20,368 "," 10,782 ",
50-54," 39,148 "," 25,383 "," 13,765 ",
55-59," 47,841 "," 31,055 "," 16,786 ",
60-64," 55,893 "," 35,710 "," 20,183 ",
65-69," 60,201 "," 37,129 "," 23,072 ",
70-74," 57,696 "," 33,346 "," 24,350 ",
75-79," 57,158 "," 29,640 "," 27,518 ",
80-84," 51,526 "," 22,615 "," 28,911 ",
85-89," 36,544 "," 13,333 "," 23,211 ",
90-94," 18,388 "," 5,495 "," 12,893 ",
95 and over," 7,708 "," 2,070 "," 5,638 ",
Not Stated, 145 , 115 , 30 ,
